plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
10105, 5506, 71.52181, -75.33295, 100, 9, 9, 0, 58093,58153,58096,58114,
10106, 5506, 71.52181, -75.33295, 100, 9, 9, 0, 58119,58441,58385,58419,58416,
10107, 5507, 73.18395, -68.80377, 100, 9, 9, 0, 58472,58475,58448,58383,58445,58116,58358,58442,58386,
10108, 5508, 73.91166, -71.30492, 100, 9, 9, 0, 58121,58155,58118,58417,58475,58115,58471,58441,
10109, 5508, 73.91166, -71.30492, 100, 9, 9, 0, 58092,
10110, 5509, 77.76021, -65.67992, 100, 9, 9, 0, 58353,58443,58382,58385,58356,58417,58115,58447,58414,
10111, 5510, 78.5258, -62.5661, 100, 9, 9, 0, 58444,58501,58448,58418,58479,58116,58471,58474,58415,
10112, 5511, 79.93246, -72.81782, 100, 9, 9, 0, 58357,58766,58351,58093,58114,58381,58096,58122,58354,
10113, 5512, 80.6011, -69.7103, 100, 9, 9, 0, 58092,58447,58507,58122,58800,58894,58500,58444,58479,
10114, 5513, 82.84366, -76.16799, 100, 9, 9, 0, 58447,58444,58092,58472,58095,58481,58415,58151,58154,
10115, 5514, 85.37926, -63.57865, 100, 9, 9, 0, 58859,58418,58767,58508,58481,58823,58805,58827,58800,
10116, 5515, 86.19716, -60.39283, 100, 9, 9, 0, 58802,58154,58500,58509,58475,58799,58479,58093,58444,
10117, 5516, 86.5236, -67.7097, 100, 9, 9, 0, 58476,58384,58416,58116,58442,58419,58473,58446,58119,
10118, 5517, 88.33804, -70.97048, 100, 9, 9, 0, 58114,58153,58095,58184,58448,58468,58416,58419,58472,
10119, 5518, 92.12778, -63.59827, 100, 9, 9, 0, 58508,58825,58445,58860,58863,58801,58480,58828,58501,
10120, 5519, 98.07207, -75.18425, 100, 9, 9, 0, 58155,58116,58442,58185,58473,58096,58446,58122,58119,
10121, 5520, 98.19632, -70.30972, 100, 10, 9, 0, 58152,58121,58445,
10122, 5520, 98.19632, -70.30972, 100, 10, 9, 0, 58094,58152,58155,58091,58182,58179,58385,
10123, 5521, 5.07043, -77.22261, 100, 13, 12, 0, 58358,58350,58414,58322,58355,58446,58089,58092,58419,58677,
